Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Austria,AUT,2004,301457562038.5413,280355532695.84344,280.35553269584346
Austria,AUT,2005,316092273276.01544,293965814146.6944,293.9658141466944
Austria,AUT,2006,336280064332.4113,312740459829.1425,312.74045982914254
Austria,AUT,2007,389185571506.05225,361942581500.6286,361.9425815006286
Austria,AUT,2008,432051935642.9452,401808300147.939,401.808300147939
Austria,AUT,2009,401758735822.2107,373635624314.65594,373.63562431465596
Austria,AUT,2010,392275107258.6674,364815849750.5607,364.81584975056074
Austria,AUT,2011,431685217367.51056,401467252151.78485,401.46725215178486
Austria,AUT,2012,409401816050.5313,380743688926.99414,380.74368892699414
Austria,AUT,2013,430190979705.962,400077611126.5447,400.0776111265447
Austria,AUT,2014,442584815286.03375,411603878216.0114,411.6038782160114
Austria,AUT,2015,381971148530.5428,355233168133.4048,355.2331681334048
Austria,AUT,2016,395837353031.499,368128738319.2941,368.12873831929414
Austria,AUT,2017,417261151844.9772,388052871215.8288,388.0528712158288
Austria,AUT,2018,454991174096.1016,423141791909.3745,423.1417919093745
Austria,AUT,2019,444596155845.2542,413474424936.0864,413.47442493608645
Austria,AUT,2020,435049316955.73663,404595864768.8351,404.5958647688351
Austria,AUT,2021,479295362747.0466,445744687354.75336,445.74468735475335
Austria,AUT,2022,470941926750.7412,437975991878.18933,437.97599187818935
Austria,AUT,2023,516034144115.9503,479911754027.8338,479.9117540278338
Belgium,BEL,1960,11810619368.387356,10983876012.60024,10.983876012600241
Belgium,BEL,1961,12561701694.33192,11682382575.728687,11.682382575728687
Belgium,BEL,1962,13436827166.51867,12496249264.862364,12.496249264862364
Belgium,BEL,1963,14445805381.387213,13434599004.69011,13.43459900469011
Belgium,BEL,1964,16168044450.25225,15036281338.734594,15.036281338734595
Belgium,BEL,1965,17597783297.458344,16365938466.636261,16.365938466636262
Belgium,BEL,1966,18894891312.297703,17572248920.436863,17.572248920436863
Belgium,BEL,1967,20252508995.47449,18834833365.79128,18.83483336579128
Belgium,BEL,1968,21654856965.428123,20139016977.848156,20.139016977848154
Belgium,BEL,1969,24019653474.99587,22338277731.74616,22.33827773174616
Belgium,BEL,1970,26706196046.79306,24836762323.517548,24.836762323517547
Belgium,BEL,1971,29821661869.91201,27734145539.01817,27.73414553901817
Belgium,BEL,1972,37209418018.51343,34604758757.21749,34.60475875721749
Belgium,BEL,1973,47743801490.37466,44401735386.04843,44.40173538604843
Belgium,BEL,1974,56033077879.03894,52110762427.50622,52.11076242750622
Belgium,BEL,1975,65678189097.29078,61080715860.48043,61.08071586048043
Belgium,BEL,1976,71113882967.60712,66135911159.87462,66.13591115987462
Belgium,BEL,1977,82839905458.63815,77041112076.5335,77.0411120765335
Belgium,BEL,1978,101246526194.44089,94159269360.83003,94.15926936083004
Belgium,BEL,1979,116315456796.918,108173374821.13374,108.17337482113375
Belgium,BEL,1980,126829314388.19148,117951262381.01808,117.95126238101808
Belgium,BEL,1981,104730018470.23032,97398917177.3142,97.39891717731419
Belgium,BEL,1982,92095926187.53313,85649211354.4058,85.64921135440581
Belgium,BEL,1983,87184239053.25444,81081342319.52663,81.08134231952663
Belgium,BEL,1984,83349530159.17342,77515063048.03128,77.51506304803128
Belgium,BEL,1985,86268264148.37964,80229485657.99307,80.22948565799307
Belgium,BEL,1986,120018787249.41304,111617472141.95413,111.61747214195414
Belgium,BEL,1987,149394404105.8887,138936795818.4765,138.9367958184765
Belgium,BEL,1988,162299103675.26056,150938166417.99234,150.93816641799233
Belgium,BEL,1989,164221056511.05652,152725582555.28256,152.72558255528256
Belgium,BEL,1990,205331747947.8513,190958525591.5017,190.9585255915017
Belgium,BEL,1991,210510999409.33252,195775229450.67926,195.77522945067926
Belgium,BEL,1992,234781652446.67505,218346936775.4078,218.3469367754078
Belgium,BEL,1993,224721795708.95523,208991270009.32837,208.99127000932836
Belgium,BEL,1994,244884129491.1985,227742240426.8146,227.74224042681462
Belgium,BEL,1995,288025588396.2781,267863797208.53864,267.86379720853864
Belgium,BEL,1996,279201433224.75574,259657332899.02286,259.65733289902283
Belgium,BEL,1997,252708051420.83896,235018487821.38025,235.01848782138026
Belgium,BEL,1998,258528339631.0291,240431355856.8571,240.4313558568571
